Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density
ceriodaphnia,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,3,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
dentifera,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,327,166,159,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.00305810397553517,0.00305810397553517,0,0,0,NA,NA,NA,50762.6
dentifera,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,204,77,127,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,24063.2
dentifera,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,229,169,58,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.00873362445414847,0,0,0,0,NA,NA,NA,32392.7
dentifera,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,237,86,149,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.00421940928270042,0,0,0,NA,NA,NA,39123.7
dentifera,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,225,96,128,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,20753.8
dentifera,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,205,90,113,0,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.00975609756097561,0,0,0,NA,NA,NA,12620.5
dentifera,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,282,145,122,3,0,0,0,0,11,0,0,0,NA,NA,NA,0,0,0,0.0390070921985816,0,0,0,NA,NA,NA,8918.5
dentifera,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,238,95,102,38,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,10657.3
dentifera,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,216,36,66,85,28,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00462962962962963,0,0,0,0,NA,NA,NA,9255.1
dubia,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,3,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.5
dubia,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,17,8,9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963.2
dubia,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262.1
dubia,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,45,21,24,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,3085
dubia,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,35,18,17,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,841.4
dubia,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,185,104,80,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.00540540540540541,0,0,0,NA,NA,NA,7291.9
dubia,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,54,23,30,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.0185185185185185,0,0,0,0,NA,NA,NA,2692.4
dubia,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,83,14,63,6,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2734.4
dubia,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,143,66,73,3,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2524.1
parvula,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,233,114,113,3,1,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.00858369098712446,0,0,0,NA,NA,NA,27765.2
pulicaria,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,226,97,128,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,58895.8
pulicaria,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,247,84,160,3,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,45433.9
pulicaria,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,403,136,267,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,67870.4
pulicaria,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,200,62,138,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,18930.8
pulicaria,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,215,82,132,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.00465116279069767,NA,NA,NA,14303.3
pulicaria,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,347,64,280,0,0,0,0,0,1,0,0,2,NA,NA,NA,0,0,0,0.00288184438040346,0,0,0.00576368876080692,NA,NA,NA,8413.7
pulicaria,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,91,43,46,2,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2944.8
retrocurva,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,258,100,154,0,0,0,0,0,4,0,0,0,NA,NA,NA,0,0,0,0.0155038759689922,0,0,0,NA,NA,NA,8413.7
retrocurva,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,164,69,90,0,0,0,0,5,0,0,0,0,NA,NA,NA,0,0,0.0304878048780488,0,0,0,0,NA,NA,NA,9535.5
retrocurva,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,61,44,16,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.0163934426229508,0,0,0,0,NA,NA,NA,11358.5
retrocurva,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,143,88,51,0,0,2,0,1,1,0,0,0,NA,NA,NA,0.013986013986014,0,0.00699300699300699,0.00699300699300699,0,0,0,NA,NA,NA,12199.9
retrocurva,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,97,49,43,0,0,5,0,0,0,0,0,0,NA,NA,NA,0.0515463917525773,0,0,0,0,0,0,NA,NA,NA,2804.6
retrocurva,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,217,104,111,0,0,1,0,0,1,0,0,0,NA,NA,NA,0.00460829493087558,0,0,0.00460829493087558,0,0,0,NA,NA,NA,9255.1
retrocurva,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,192,113,77,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.0104166666666667,0,0,0,0,0,0,NA,NA,NA,5384.8
retrocurva,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,226,99,104,20,2,1,0,0,0,0,0,0,NA,NA,NA,0.00442477876106195,0,0,0,0,0,0,NA,NA,NA,12620.5
retrocurva,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,262,107,109,43,2,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.00381679389312977,0,0,0,NA,NA,NA,0
ambigua,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,10,7,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.7
ambigua,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860
ambigua,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,12,9,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ambigua,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,7,4,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344
ambigua,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,15,8,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.3
ambigua,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ambigua,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,29,18,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,860
ambigua,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860
ambigua,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,17,13,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ceriodaphnia,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ceriodaphnia,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,65,38,26,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.0153846153846154,0,0,0,0,0,0,NA,NA,NA,3268
ceriodaphnia,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,127,72,55,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,8600.1
ceriodaphnia,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,65,38,24,0,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2580
ceriodaphnia,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,559,86,108,0,10,1,0,0,1,0,0,0,NA,NA,NA,0.00178890876565295,0,0,0.00178890876565295,0,0,0,NA,NA,NA,20640.2
ceriodaphnia,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,261,55,83,63,0,1,0,0,2,0,0,0,NA,NA,NA,0.00383141762452107,0,0,0.00766283524904215,0,0,0,NA,NA,NA,20425.2
ceriodaphnia,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,306,51,45,40,167,1,0,1,0,0,0,0,NA,NA,NA,0.00326797385620915,0,0.00326797385620915,0,0,0,0,NA,NA,NA,13186.8
dentifera,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,381,158,189,1,0,2,1,4,0,0,0,0,NA,NA,NA,0.005249343832021,0.0026246719160105,0.010498687664042,0,0,0,0,NA,NA,NA,16340.1
dentifera,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,138,59,76,0,0,2,0,1,0,0,0,0,NA,NA,NA,0.0144927536231884,0,0.0072463768115942,0,0,0,0,NA,NA,NA,9460.1
dentifera,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,146,53,91,0,0,0,2,0,0,0,0,0,NA,NA,NA,0,0.0136986301369863,0,0,0,0,0,NA,NA,NA,7310.1
dentifera,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,200,66,132,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.01,0,0,0,0,0,0,NA,NA,NA,19780.2
dentifera,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,201,89,106,0,0,3,2,0,0,0,0,0,NA,NA,NA,0.0149253731343284,0.00995024875621891,0,0,0,0,0,NA,NA,NA,22933.5
dentifera,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,206,107,92,3,0,1,0,0,0,0,0,0,NA,NA,NA,0.00485436893203883,0,0,0,0,0,0,NA,NA,NA,22790.2
dentifera,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,306,69,192,16,0,1,0,0,2,0,0,0,NA,NA,NA,0.00326797385620915,0,0,0.0065359477124183,0,0,0,NA,NA,NA,73100.6
dentifera,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,352,100,127,100,21,1,0,0,3,0,0,0,NA,NA,NA,0.00284090909090909,0,0,0.00852272727272727,0,0,0,NA,NA,NA,48160.4
dentifera,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,227,49,44,114,20,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,39560.3
dubia,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,171,41,128,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.00584795321637427,0.00584795321637427,0,0,0,NA,NA,NA,8600.1
dubia,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,51,19,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,10750.1
dubia,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,154,41,111,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.012987012987013,0,0,0,0,NA,NA,NA,13330.1
dubia,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,227,83,142,0,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.00881057268722467,0,0,0,0,NA,NA,NA,13330.1
dubia,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,197,57,132,0,0,1,0,2,5,0,0,0,NA,NA,NA,0.0050761421319797,0,0.0101522842639594,0.0253807106598985,0,0,0,NA,NA,NA,9030.1
dubia,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,35,10,23,0,0,0,0,1,1,0,0,0,NA,NA,NA,0,0,0.0285714285714286,0.0285714285714286,0,0,0,NA,NA,NA,1720
dubia,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,111,40,67,1,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.00900900900900901,0,0,0,NA,NA,NA,10893.4
dubia,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,45,11,33,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.0222222222222222,0,0,0,NA,NA,NA,4300
dubia,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,93,58,27,1,0,0,0,0,7,0,0,0,NA,NA,NA,0,0,0,0.0752688172043011,0,0,0,NA,NA,NA,7740.1
parvula,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,2,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,77,24,53,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2293.4
pulicaria,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,25,4,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,860
pulicaria,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,6,1,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430
pulicaria,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,4,1,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516
pulicaria,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,5,2,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.3
pulicaria,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,10,8,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.7
pulicaria,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
retrocurva,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,613,206,404,0,0,0,0,2,1,0,0,0,NA,NA,NA,0,0,0.0032626427406199,0.00163132137030995,0,0,0,NA,NA,NA,125991
retrocurva,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,381,92,288,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.0026246719160105,0,0,0,NA,NA,NA,120831
retrocurva,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,212,44,168,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,67940.6
retrocurva,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,230,114,113,0,0,2,0,1,0,0,1,0,NA,NA,NA,0.00869565217391304,0,0.00434782608695652,0,0,0.00434782608695652,0,NA,NA,NA,57333.8
retrocurva,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,228,87,125,0,0,9,0,0,2,0,5,0,NA,NA,NA,0.0394736842105263,0,0,0.0087719298245614,0,0.0219298245614035,0,NA,NA,NA,36980.3
retrocurva,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,70,35,31,0,0,2,0,0,2,0,0,0,NA,NA,NA,0.0285714285714286,0,0,0.0285714285714286,0,0,0,NA,NA,NA,4873.4
retrocurva,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,213,64,143,0,0,2,0,0,4,0,0,0,NA,NA,NA,0.00938967136150235,0,0,0.0187793427230047,0,0,0,NA,NA,NA,45150.4
retrocurva,Bishop,2014,2014297,297,24-Oct-14,10/24/2014,318,128,150,23,0,3,0,2,12,0,0,0,NA,NA,NA,0.00943396226415094,0,0.00628930817610063,0.0377358490566038,0,0,0,NA,NA,NA,52890.4
retrocurva,Bishop,2014,2014308,308,4-Nov-14,11/4/2014,448,171,184,75,1,7,0,0,10,0,0,0,NA,NA,NA,0.015625,0,0,0.0223214285714286,0,0,0,NA,NA,NA,92020.7
ceriodaphnia,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
dentifera,Bruin,2014,2014204,204,23-Jul-14,7/23/2014,209,17,187,0,0,0,0,2,0,2,0,0,NA,NA,NA,0,0,0.00956937799043062,0,0.00956937799043062,0,0,NA,NA,NA,7151.6
dentifera,Bruin,2014,2014216,216,4-Aug-14,8/4/2014,224,60,163,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00446428571428571,0,0,0,0,NA,NA,NA,21034.2
dentifera,Bruin,2014,2014230,230,18-Aug-14,8/18/2014,132,73,59,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,7993
dentifera,Bruin,2014,2014245,245,2-Sep-14,9/2/2014,212,109,102,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00471698113207547,0,0,0,0,NA,NA,NA,20823.9
dentifera,Bruin,2014,2014258,258,15-Sep-14,9/15/2014,173,87,84,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,9535.5
dentifera,Bruin,2014,2014272,272,29-Sep-14,9/29/2014,221,62,100,57,0,0,0,0,2,0,0,0,NA,NA,NA,0,0,0,0.00904977375565611,0,0,0,NA,NA,NA,12830.9
dentifera,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,169,67,59,29,13,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00591715976331361,0,0,0,0,NA,NA,NA,6731
dentifera,Bruin,2014,2014300,300,27-Oct-14,10/27/2014,62,28,15,16,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,1682.7
dentifera,Bruin,2014,2014315,315,11-Nov-14,11/11/2014,9,1,0,6,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
dubia,Bruin,2014,2014204,204,23-Jul-14,7/23/2014,197,87,109,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.0050761421319797,0,0,0,NA,NA,NA,7993
dubia,Bruin,2014,2014216,216,4-Aug-14,8/4/2014,205,55,149,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.0048780487804878,0,0,0,0,NA,NA,NA,18790.6
dubia,Bruin,2014,2014230,230,18-Aug-14,8/18/2014,154,56,96,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.012987012987013,0,0,0,0,0,0,NA,NA,NA,17668.8
dubia,Bruin,2014,2014245,245,2-Sep-14,9/2/2014,230,120,109,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.00434782608695652,0,0,0,0,0,0,NA,NA,NA,22296.3
dubia,Bruin,2014,2014258,258,15-Sep-14,9/15/2014,169,77,91,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00591715976331361,0,0,0,0,NA,NA,NA,14022.8
dubia,Bruin,2014,2014272,272,29-Sep-14,9/29/2014,173,59,111,0,0,0,0,0,3,0,0,0,NA,NA,NA,0,0,0,0.0173410404624277,0,0,0,NA,NA,NA,11779.2
dubia,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,196,81,107,5,0,0,0,1,2,0,0,0,NA,NA,NA,0,0,0.00510204081632653,0.0102040816326531,0,0,0,NA,NA,NA,7852.8
dubia,Bruin,2014,2014300,300,27-Oct-14,10/27/2014,15,2,11,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1121.8
dubia,Bruin,2014,2014315,315,11-Nov-14,11/11/2014,12,8,2,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.7
parvula,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,2,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bruin,2014,2014204,204,23-Jul-14,7/23/2014,241,102,132,7,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,33234.1
pulicaria,Bruin,2014,2014216,216,4-Aug-14,8/4/2014,258,137,118,1,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.00775193798449612,0,0,0,0,NA,NA,NA,21595.1
pulicaria,Bruin,2014,2014230,230,18-Aug-14,8/18/2014,202,69,130,1,0,0,0,2,0,0,0,0,NA,NA,NA,0,0,0.0099009900990099,0,0,0,0,NA,NA,NA,6731
pulicaria,Bruin,2014,2014245,245,2-Sep-14,9/2/2014,262,102,153,0,0,0,0,6,1,0,0,0,NA,NA,NA,0,0,0.0229007633587786,0.00381679389312977,0,0,0,NA,NA,NA,6941.3
pulicaria,Bruin,2014,2014258,258,15-Sep-14,9/15/2014,147,28,117,1,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.00680272108843537,0,0,0,0,NA,NA,NA,11218.3
pulicaria,Bruin,2014,2014272,272,29-Sep-14,9/29/2014,13,5,7,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051.7
pulicaria,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,6,6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bruin,2014,2014300,300,27-Oct-14,10/27/2014,11,8,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
pulicaria,Bruin,2014,2014315,315,11-Nov-14,11/11/2014,11,0,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
retrocurva,Bruin,2014,2014204,204,23-Jul-14,7/23/2014,186,63,118,0,0,0,0,2,1,1,0,0,NA,NA,NA,0,0,0.010752688172043,0.00537634408602151,0.00537634408602151,0,0,NA,NA,NA,4347.1
retrocurva,Bruin,2014,2014216,216,4-Aug-14,8/4/2014,208,78,121,0,0,6,0,2,0,1,0,0,NA,NA,NA,0.0288461538461538,0,0.00961538461538462,0,0.00480769230769231,0,0,NA,NA,NA,24960.6
retrocurva,Bruin,2014,2014230,230,18-Aug-14,8/18/2014,114,53,59,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.0175438596491228,0,0,0,0,0,0,NA,NA,NA,7782.7
retrocurva,Bruin,2014,2014245,245,2-Sep-14,9/2/2014,68,25,38,0,0,4,0,1,0,0,0,0,NA,NA,NA,0.0588235294117647,0,0.0147058823529412,0,0,0,0,NA,NA,NA,4837.9
retrocurva,Bruin,2014,2014258,258,15-Sep-14,9/15/2014,161,83,51,0,0,22,0,4,0,1,0,0,NA,NA,NA,0.136645962732919,0,0.0248447204968944,0,0.0062111801242236,0,0,NA,NA,NA,10937.8
retrocurva,Bruin,2014,2014272,272,29-Sep-14,9/29/2014,201,53,142,0,0,4,0,1,1,0,0,0,NA,NA,NA,0.0199004975124378,0,0.00497512437810945,0.00497512437810945,0,0,0,NA,NA,NA,23558.3
retrocurva,Bruin,2014,2014287,287,14-Oct-14,10/14/2014,238,49,183,2,0,1,0,1,2,0,0,0,NA,NA,NA,0.00420168067226891,0,0.00420168067226891,0.00840336134453781,0,0,0,NA,NA,NA,31411.1
retrocurva,Bruin,2014,2014300,300,27-Oct-14,10/27/2014,218,63,118,34,1,1,0,1,0,0,0,0,NA,NA,NA,0.00458715596330275,0,0.00458715596330275,0,0,0,0,NA,NA,NA,14303.3
retrocurva,Bruin,2014,2014315,315,11-Nov-14,11/11/2014,483,113,193,168,6,0,0,3,0,0,0,0,NA,NA,NA,0,0,0.0062111801242236,0,0,0,0,NA,NA,NA,21034.2
ceriodaphnia,Cedar,2014,2014198,198,17-Jul-14,7/17/2014,35,27,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,430
ceriodaphnia,Cedar,2014,2014209,209,28-Jul-14,7/28/2014,91,39,22,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,215
ceriodaphnia,Cedar,2014,2014239,239,27-Aug-14,8/27/2014,4,3,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.7
ceriodaphnia,Cedar,2014,2014254,254,11-Sep-14,9/11/2014,2,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430
ceriodaphnia,Cedar,2014,2014266,266,23-Sep-14,9/23/2014,67,27,40,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,3440
ceriodaphnia,Cedar,2014,2014283,283,10-Oct-14,10/10/2014,10,0,4,0,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2580
