"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"ambigua","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",202,96,86,6,0,0,0,0,0.0693069306930693,25833.4
"ambigua","Bishop",2022,2022194,194,"13-Jul-22","7/13/2022",3,1,0,0,0,NA,NA,NA,NA,271.8
"ambigua","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",3,1,1,0,0,NA,NA,NA,NA,85.8
"ambigua","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",10,3,4,0,0,NA,NA,NA,NA,323.5
"ambigua","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",2,2,0,0,0,NA,NA,NA,NA,54.4
"ambigua","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",2,0,1,0,0,NA,NA,NA,NA,120.8
"ambigua","Bishop",2022,2022292,292,"19-Oct-22","10/19/2022",2,1,0,0,0,NA,NA,NA,NA,158.5
"ambigua","Bishop",2022,2022307,307,"3-Nov-22","11/3/2022",4,1,0,0,0,NA,NA,NA,NA,188.1
"ceriodaphnia","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",1,1,0,NA,0,NA,NA,NA,NA,724.7
"ceriodaphnia","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",2,0,2,NA,0,NA,NA,NA,NA,57.2
"ceriodaphnia","Bishop",2022,2022222,222,"10-Aug-22","8/10/2022",7,5,2,NA,0,NA,NA,NA,NA,373.7
"ceriodaphnia","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",30,9,21,NA,0,0,0,0,0,815.3
"ceriodaphnia","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",103,40,62,NA,0,0,0.00970873786407767,0,0,2799.2
"ceriodaphnia","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",224,129,89,NA,4,0,0.00892857142857143,0,0,6087.5
"ceriodaphnia","Bishop",2022,2022278,278,"5-Oct-22","10/5/2022",15,4,8,NA,3,NA,NA,NA,NA,758.4
"ceriodaphnia","Bishop",2022,2022292,292,"19-Oct-22","10/19/2022",98,44,39,NA,5,0,0,0,0,2686.3
"ceriodaphnia","Bishop",2022,2022307,307,"3-Nov-22","11/3/2022",41,25,12,NA,4,0,0,0,0,1114.2
